candidate_id,objective,num_leaves,learning_rate,min_child_samples,wape,mae,rmse,bias,smape
7,poisson,31,0.05,20,0.34809013991354293,4.227844824366573,6.311033497798727,-2.022844244467,0.5025103690186703
10,tweedie,31,0.02,20,0.3550238962132113,4.312061072756296,6.353390508731854,-2.1202897826005924,0.5157794855572102
5,poisson,15,0.02,20,0.35685114147530017,4.3342544891687504,5.826840614854966,-0.5543258467695312,0.49678364674092296
6,poisson,15,0.05,50,0.3666937980194947,4.45380175511178,6.130708887603554,-0.9976871042005926,0.5063741771732907
9,tweedie,15,0.02,50,0.3696977441150233,4.490287183730388,6.147909553084019,-0.8754400657677924,0.5073908964317182
8,tweedie,7,0.02,50,0.38147552002369306,4.6333380869544385,6.117557171290471,-0.13372856515097334,0.5081336121848105
2,regression_l2,15,0.05,20,0.3886879943916867,4.720939598549029,6.5771457738045225,0.0945802799265028,0.499035902373339
3,regression_l2,31,0.05,20,0.3908697696822612,4.7474390775991315,6.530210089007216,-0.2801821169652338,0.5320050693567483
4,poisson,7,0.02,50,0.39158901928244877,4.756174963368076,6.185089359803786,0.15797643557925123,0.5226988634348593
11,tweedie,31,0.05,50,0.3963743993682453,4.814297392326813,6.9262823922073276,-3.160254270904337,0.5740751783892505
0,regression_l2,7,0.02,20,0.41154806607721534,4.998594219229511,6.789623051509548,0.5802381410967953,0.5256672123525363
1,regression_l2,7,0.05,50,0.4140306403142796,5.028747152150522,6.840398207078981,0.6493048176182186,0.5216387343095444
