model,wape,mae,rmse,bias,smape
ensemble,0.323909189241566,3.9341470276631867,5.7624748295535495,-1.688505455566833,0.4939927848887516
seasonal_naive,0.3241852487135506,3.9375,5.618051263561058,-1.3541666666666667,0.5088605435764237
tsb,0.34158223985989683,4.1488009549649965,6.2401560632374125,-3.0941791023212346,0.5223556747627819
croston,0.3441342060415336,4.179796710879461,6.271707463119897,-2.9146609202744536,0.5140846090067885
ml_lightgbm,0.34809013991354293,4.227844824366573,6.311033497798727,-2.022844244467,0.5025103690186703
moving_average_28,0.3904067630482725,4.741815476190476,7.152112679048725,-3.4769345238095233,0.5676181295360164
